No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1062,Y & Co. is a partnership firm which was dissolved on 31.03.2018. The return of income of the firm for the assessment year 2018-19 was filed on 31.08.2018. The return of income of the firm was selected for scrutiny assessment under section 143(3). The notice for scrutiny assessment under section 143(2) has to served on,(A) all the partners.,(B) any working partner.,(C) any partner having long association.,(D) any partner.,d,"The correct answer is (D) any partner.In the case of a partnership firm, the notice for scrutiny assessment under section 143(2) is typically served on ""any partner"" of the firm. This means that the notice can be served on any of the partners associated with the firm, as long as they represent the interests of the partnership in the assessment process. It is not limited to working partners or those with long associations."
1063,"Sakshita Fertilisers P Ltd., is a manufacturer. A factory building has been constructed for ₹40 lakhs and occupied on 12.02.2018. Additional depreciation allowable for the said factory building is",(A) Nil,(B) ₹4 lakhs,(C) ₹2 lakhs,(D) None of the above,a,Additional depreciation is not allowed for a factory building.
1064,"Mr Nyati has won a lottery prize. After deduction of tax, he received ₹7 lakhs. He has spent ₹20,000 by way of purchase of lottery tickets and for collecting the prize money. The amount chargeable to tax in his hands in this regard is",(A) ₹7 lakhs,(B) ₹10 lakhs,(C) ₹6.8 lakhs,(D) ₹9.8 lakhs,b,"The correct answer is (B) ₹10 lakhs.In this case, the taxable amount for Mr. Nyati is ₹10 lakhs because the total prize amount he received after deducting the expenses (₹7 lakhs) plus the amount he spent on lottery tickets and collecting the prize money (₹20,000) sums up to ₹10 lakhs. This total amount is subject to taxation as lottery winnings."
1065,Mr. Janak‘s turnover during the year ended 31.03.2017 was ₹3 crores. He has paid a sum of ₹3 lakhs to an engineer for supervision of a residential house for his own occupation. The amount of tax to be deducted at source from such payment u/s 194- J is,(A) ₹3 lakhs,(B) ₹3.3 lakhs,"(C) ₹30,000",(D) Nil,d,"Section 194-J applies to fees for professional or technical services. However, if the person's turnover during the year did not exceed ₹1 crore, TDS is not applicable."
1066,"Mrs. Rakshita, a Cost Accountant has raised a fees bill on LMN P Ltd., for ₹3,00,000 and in addition, has charged separately IGST of 18% i.e. ₹54,000, the total amount of the bill being ₹3,54,000. The amount of tax to be deducted at source by LMN P Ltd., is","(A) ₹30,000","(B) ₹30,900","(C) ₹35,400",(D) None of the above,a,"TDS is to be deducted on the payment amount excluding GST. In this case, it would be ₹3,00,000."
1067,"Harivallabh Pvt. Ltd., has spent a sum of ₹10 lakhs towards meeting its corporate social responsibility (CSR) under the Companies Act, 2013. The amount of deduction available while computing the business income is",(A) ₹10 lakhs,(B) ₹15 lakhs,(C) ₹12.5 lakhs,(D) Nil,d,CSR expenses are not deductible while computing business income.
1068,"Martin (age 62) resident in India received interest on fixed deposit with SBI of ` 45,000 for the year ended 31.03.2019. He does not have PAN. At what rate the bank must deduct tax at source?",(A) Nil,(B) 10%,(C) 20%,(D) 30%,a,"The correct answer is (A) Nil.When an individual like Martin, who is a resident in India, receives interest income from a fixed deposit, and the income is below the taxable threshold, no tax deduction at source (TDS) is required. Since the interest income is only ₹45,000, which is not taxable, the bank doesn't need to deduct any TDS on this income. However, the recipient should still report this income while filing their income tax return."
1069,"Damage (P) Ltd. filed an application in March, 2019 for corporate insolvency resolution process, which was admitted by the adjudicating authority under Insolvency and Bankruptcy Code, 2016. The company has two full-time directors and a managing director. Who must sign the return of income of the company for the assessment year 2019-20?",(A) Any one of the full-time directors,(B) The professional appointed by the said adjudicating authority.,(C) Liquidator of the company,(D) Managing director,b,"The correct answer is (B) The professional appointed by the said adjudicating authority.When a company like Damage (P) Ltd. enters into corporate insolvency resolution under the Insolvency and Bankruptcy Code, a professional appointed by the adjudicating authority, such as a resolution professional or an interim resolution professional, is responsible for managing the affairs of the company. Therefore, it is this appointed professional who would be responsible for signing the return of income for the assessment year 2019-20 on behalf of the company."
1070,"Shri Rajiv paid 1,20,000 by cheque on 05.01.2019 towards medical insurance premium for his parents who are senior citizens and not dependent on him. The premium was to provide health insurance cover for 3 years. How much is deductible under section 80D for the assessment year 2019 – 20?",(A) Nil,"(B) 25,000","(C) 40,000","(D) 50,000",c,"Shri Rajiv can claim a deduction of up to ₹40,000 under section 80D for the health insurance premium paid for his senior citizen parents."
1071,Mahasakthi Sugars Co-operative Society is engaged in manufacture of jiggery from sugarcane cultivated by its members. What is the ‘due date’ for filing the return of income for the assessment year 2019-20 in order to be eligible for deduction under section 80-P?,(A) Due date specified in section 139(1),(B) No specific date,"(C) 31st March, 2020","(D) 31st December, 2019",a,"The correct answer is (A) Due date specified in section 139(1).For Mahasakthi Sugars Co-operative Society to be eligible for a deduction under section 80-P, the due date for filing the return of income for the assessment year 2019-20 is as specified in section 139(1) of the Income Tax Act. This due date is important to meet to avail of the deduction under the section."
1072,"During the course of survey in the premises of Jagan & Co. on 10.01.2019, stocks of goods purchased for 10 lakhs were found to be not recorded in the books of account. The firm has brought forward loss of ` 5 lakhs and incurred business loss of 2 lakhs for the year ended 31.03.2019 without considering the unaccounted stock. The tax liability of the firm including the said unaccounted purchase would be (including surcharge and cess).","(A) 3,12,000","(B) 7,80,000",(C) Nil,"(D) 93,600",b,"The unaccounted stock would increase the taxable income of the firm, resulting in a higher tax liability."
1073,"ABC Ltd. declared interim dividend in August, 2018 of 100 lakhs. The amount payable by way of dividend distribution tax would be","(A) 31,20,000","(B) 26,00,000","(C) 17,47,200","(D) 20,55,600",d,"The correct answer is (D) 20,55,600.The dividend distribution tax payable by ABC Ltd. on the interim dividend declared in August 2018 is 20,55,600. This tax is calculated based on the applicable rates and is a liability of the company."
1074,A certificate issued by a registered valuer contained incorrect information. The CIT (Appeals) while giving appellate order can,(A) Impose penalty of 1 lakh on registered valuer.,(B) Not impose penalty on registered valuer,"(C) Impose penalty of 10,000 on registered valuer",(D) Direct registered valuer to rectify the error.,c,"The correct answer is (C) Impose a penalty of 10,000 on the registered valuer.In this case, the CIT (Appeals) has the authority to impose a penalty of 10,000 on the registered valuer for issuing a certificate with incorrect information. This penalty is a consequence of the valuer's error."
1075,"Tripti Charitable Trust registered under Section 12AA paid rent for premises at 30,000 per month by cash. It also did not deduct tax on salary paid to its manager amounting to 4,80,000 for the previous year 2018-19. The total income of the assessee would be increased by because of the above said transactions.","(A) 3,60,000","(B) 5,04,00","(C) 8,40,000","(D) 2,52,000",b,"The expenses paid in cash and not deducting TDS on salary would result in an increased income of ₹5,04,000."
1076,"X Co. Ltd. paid interest to its holding company Y Inc. of USA at 15% amounting to 200 lakhs. The total interest paid by X Co. Ltd. for the previous year 2018-19 was 500 lakhs. In determining arm’s length price interest paid to Y Inc. was added back to the extent of 100 lakhs in the hands of X Co. Ltd. The EBITDA of X Co. Ltd. is 700 lakhs for the year ended 31st March, 2019. The amount of interest liable for disallowance in the hands of X Co. Ltd. would be .",(A) 500 lakhs,(B) 300 lakhs,(C) 190 lakhs,(D) Nil,d,"In this scenario, the interest paid to the holding company Y Inc. is subject to transfer pricing regulations. Since the interest paid was added back to the extent of 100 lakhs, there is no disallowance of interest in the hands of X Co. Ltd. The interest paid falls within acceptable arm's length pricing, resulting in no disallowance."
